"V1","V2"
"843","18088"
"843","2840"
"843","145508"
"57160","317390"
"57160","317390"
"57160","317390"
"57160","3450761"
"57160","3801735"
"57160","3801735"
"3736362","133608"
"5420","106762"
"5420","106762"
"5420","106762"
"5420","17494"
"5420","17494"
"5420","463413"
"5420","463413"
"5420","463413"
"5420","463413"
"5420","463413"
"5420","463413"
"5420","463413"
"5420","463413"
"5420","463413"
"5420","463413"
"5420","463413"
"5420","463413"
"5420","463413"
"5420","463413"
"5420","357381"
"5420","401044"
"5420","295707"
"5420","268059"
"5420","156449"
"5420","646399"
"5420","169814"
"5420","169814"
"5420","550224"
"5420","1830370"
"5420","572244"
"5420","572244"
"5420","572244"
"5420","572244"
"5420","675476"
"5420","675476"
"5420","675476"
"5420","653881"
"5420","233957"
"5420","233957"
"5420","233957"
"5420","218820"
"5420","420466"
"5420","447456"
"5420","447456"
"5420","447456"
"5420","447456"
"5420","447456"
"5420","575532"
"5420","372844"
"5420","723466"
"5420","723466"
"5420","723466"
"5420","723466"
"5420","723466"
"5420","154996"
"5420","445582"
"5420","243456"
"5420","289930"
"5420","144015"
"5420","158969"
"5420","158969"
"5420","384220"
"5420","360058"
"5420","413923"
"5420","413923"
"5420","844442"
"5420","844442"
"5420","844442"
"5420","875484"
"5420","917781"
"5420","980600"
"5420","1002083"
"5420","876922"
"5420","54708"
"5420","54708"
"5420","54708"
"5420","54708"
"5420","54708"
"5420","54708"
"5420","54708"
"5420","1128936"
"5420","1128936"
"5420","1298362"
"2655","572244"
"2655","447456"
"74303","2805"
"74303","585150"
"127918","843"
"127918","843"
"127918","74303"
"3617228","3481214"
"3003300","127663"
"1605916","131313"
"13261","423509"
"463413","15333"
"337106","645762"
"337106","653029"
"337106","398411"
"337106","398411"
"337106","567369"
"337106","567369"
"337106","567369"
"337106","1168652"
"337106","1168652"
"337106","1168652"
"337106","1019117"
"337106","746318"
"337106","1619272"
"337106","3483553"
"337106","3483553"
"337106","3322461"
"337106","723466"
"337106","1166931"
"337106","958213"
"337106","728357"
"337106","728357"
"337106","1034965"
"337106","1220105"
"337106","1245765"
"337106","1245765"
"337106","1254420"
"337106","1659080"
"337106","1659080"
"337106","13770"
"337106","1596159"
"337106","3452416"
"337106","3518043"
"337106","3528004"
"337106","3508598"
"357381","4102747"
"357381","4102747"
"131313","1119"
"131313","1119"
"695093","1043"
"695093","338884"
"695093","3998605"
"695093","1795089"
"695093","1795089"
"695093","1795089"
"695093","1795089"
"695093","772596"
"695093","772596"
"695093","796199"
"695093","1500422"
"695093","612124"
"695093","48523"
"695093","1406339"
"695093","1406339"
"695093","1406339"
"695093","1406339"
"695093","3467807"
"695093","1657733"
"695093","3615794"
"695093","2147360"
"695093","2147360"
"695093","3656877"
"695093","3656877"
"695093","4071827"
"695093","4071827"
"695093","956176"
"695093","1052489"
"695093","1052489"
"695093","1052489"
"695093","1052489"
"695093","1052489"
"695093","510620"
"695093","1456736"
"695093","147660"
"695093","2060089"
"695093","2286076"
"695093","3488215"
"695093","2892"
"695093","3814465"
"695093","3814465"
"695093","4029599"
"695093","4029599"
"695093","4005190"
"695093","3991514"
"695093","3804432"
"695093","3514841"
"695093","3514841"
"1192314","352645"
"351221","298225"
"131143","1195854"
"131143","1195854"
"131143","1119"
"131143","1119"
"131143","1119"
"131143","205106"
"131143","205106"
"131143","205106"
"131143","469525"
"131143","469525"
"131143","469525"
"131143","469525"
"131143","22328"
"131143","22328"
"131143","22328"
"131143","22328"
"131143","22328"
"131143","22328"
"131143","22328"
"131143","22328"
"131143","22328"
"131143","384040"
"131143","1875521"
"131143","1875521"
"131143","3838763"
"131143","3485960"
